Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Trevor Stephan","CLE",,,,,,,,,,,70.19779968261719,14.933822631835938,,,2.2111244201660156,6.338386535644531,0.6661577224731445,0.7859494090080261,16.921241760253906,,,2.6696449743315056,,0.24105088530921645,0.0902932366014612,0.15075764870775527,0.24022366971518905,,0.29047098623094314,,,,,,,999,,,,,,,-53.555293524265295,,-16.275141775608063,,,,,,,,,,,,,,,,,,,,"Trevor Stephan","19932",663986
"Kenta Maeda","DET",,,,,,,,,,,140.5738067626953,33.17536163330078,,,5.21714448928833,10.119261741638184,1.0368930101394653,1.3898656368255615,29.27370262145996,,,2.892869397873773,,0.20824436141846342,0.07198540022979286,0.13625896118867056,0.2610446080273558,,0.29650151147543624,,,,,,,597.27001953125,,,,,,,-126.4067943572998,,-43.802855253219604,,,,,,,,,,,,,,,,,,,,"Kenta Maeda","18498",628317
"Carlos Hernández","PHI",,,,,,,,,,,92.48490905761719,19.274269104003906,,,2.991584300994873,9.706807136535645,1.1683639287948608,0.7798464298248291,22.201696395874023,,,2.2872295785406735,,0.24005750367384354,0.10495557854188298,0.13510192513196057,0.23875316927271265,,0.2875780786752128,,,,,,,999,,,,,,,-73.96615447998047,,-25.947163820266724,,,,,,,,,,,,,,,,,,,,"Carlos Hernandez","22713",672578
"Ryan Loutos","STL",,,,,,,,,,,57.09537887573242,13.09015941619873,,,1.7240779399871826,5.878159523010254,0.5693786144256592,0.5087403059005737,10.61336612701416,,,1.8055593907357872,,0.18588835622080827,0.10295333245452343,0.08293502376628484,0.26164078068606095,,0.2971095406637132,,,,,,,999,,,,,,,-53.17454037666322,,-20.346980452537537,,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
"Liam Hendriks","BOS",,,,,,,,,,,109.32473754882812,22.86914825439453,,,3.407914876937866,8.435633659362793,1.0405902862548828,0.9770488739013672,29.707550048828125,,,3.5216738005040584,,0.2717367607268184,0.07716125232493838,0.19457550840188004,0.23227048808258727,,0.29230612334938877,,,,,,,267.6600036621094,,,,,,,-70.20008594989777,,-13.125840902328491,,,,,,,,,,,,,,,,,,,,"Liam Hendriks","3548",521230
"Marcus Stroman","NYY",,,,,,,,,,,358.9162902832031,91.12627410888672,,,10.597043991088867,32.62957000732422,0.478969931602478,3.3754289150238037,55.19418716430664,,,1.6915389063330422,,0.15378011157073876,0.09091136538154297,0.06286874618919579,0.2856474901215225,,0.31404192472747927,,,,,,,493.20001220703125,,,,,,,-364.89857621192937,,-135.38819432258606,,,,,,,,,,,,,,,,,,,,"Marcus Stroman","13431",573186
"Keegan Akin","BAL",,,,,,,,,,,123.68109130859375,24.273765563964844,,,2.8874948024749756,7.380366325378418,0,1.6785999536514282,35.24660873413086,,,4.775726187591866,,0.28497976821847315,0.05967255178048067,0.22530721643799248,0.21576067411821456,,0.28239573592848954,,,,,,,690.469970703125,,,,,,,-55.31165790557862,,5.778886198997498,,,,,,,,,,,,,,,,,,,,"Keegan Akin","19362",669211
"Jonathan Hernández","TBR",,,,,,,,,,,81.32601165771484,18.23873519897461,,,2.1360132694244385,10.573103904724121,0.8965673446655273,0.7998756766319275,15.792667388916016,,,1.493664257083463,,0.19418962109422308,0.13000888263430688,0.0641807384599162,0.26393828541675385,,0.3105081853691595,,,,,,,999,,,,,,,-76.22727869749069,,-30.301776468753815,,,,,,,,,,,,,,,,,,,,"Jonathan Hernandez","17464",642546
"Jackson Kowar","SEA",,,,,,,,,,,58.37819290161133,12.756677627563477,,,1.79693603515625,6.417174339294434,0.5205996632575989,0.7009180784225464,12.227997779846191,,,1.9055112317847136,,0.20946173857171038,0.10992416894626605,0.09953756962544433,0.25231493340574623,,0.29528255918153024,,,,,,,999,,,,,,,-52.167956757545475,,-20.258450150489807,,,,,,,,,,,,,,,,,,,,"Jackson Kowar","21549",663804
"Bryce Jarvis","ARI",,,,,,,,,,,82.53458404541016,18.84218978881836,,,2.6885530948638916,8.668190956115723,0.918709933757782,0.8750744462013245,15.599621772766113,,,1.7996398385478594,,0.18900709264110754,0.10502495476740421,0.08398213787370333,0.26194355845971873,,0.29620837170126313,,,,,,,999,,,,,,,-79.48944917917252,,-32.381742894649506,,,,,,,,,,,,,,,,,,,,"Bryce Jarvis","27477",686826
"Spencer Bivens","SFG",,,,,,,,,,,98.68352508544922,23.357255935668945,,,3.016599178314209,8.862528800964355,1.0585285425186157,1.1149438619613647,16.90993309020996,,,1.9080257418593602,,0.17135517884639603,0.08980758230201412,0.08154759654438191,0.26676052642791775,,0.29658932110960445,,,,,,,999,,,,,,,-93.94558713436128,,-35.328341126441956,,,,,,,,,,,,,,,,,,,,"Spencer Bivens","30226",702352
"Aaron Nola","PHI",,,,,,,,,,,380.6964416503906,86.65448760986328,,,12.414931297302246,25.952150344848633,0.6275927424430847,2.8973493576049805,89.5230484008789,,,3.4495426086589687,,0.23515598940925128,0.06817019416399371,0.16698579524525758,0.24962775542742566,,0.2979490216220105,,,,,,,88.30000305175781,,,,,,,-285.5077250480652,,-68.89650917053223,,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Nick Sandlin","TOR",,,,,,,,,,,95.31783294677734,19.564191818237305,,,3.0473546981811523,10.747191429138184,1.0373941659927368,1.1729559898376465,22.867706298828125,,,2.1277844029862867,,0.23991005242006264,0.11275110959707925,0.1271589428229834,0.2380408573793037,,0.2883234968925777,,,,,,,749.5,,,,,,,-78.37439117431641,,-29.64064073562622,,,,,,,,,,,,,,,,,,,,"Nick Sandlin","20517",680704
"Casey Legumina","SEA",,,,,,,,,,,73.17733764648438,17.03519630432129,,,2.5302746295928955,6.5528244972229,0.7051001191139221,0.7655324935913086,13.752025604248047,,,2.0986409158487582,,0.18792738362091435,0.08954718370432153,0.09838019991659282,0.2625371508915567,,0.293450547816082,,,,,,,999,,,,,,,-69.8649080991745,,-27.344589948654175,,,,,,,,,,,,,,,,,,,,"Casey Legumina","25921",668984
"Jason Adam","SDP",,,,,,,,,,,115.76542663574219,23.01191520690918,,,3.008896589279175,10.989056587219238,1.2065430879592896,1.8025050163269043,30.521915435791016,,,2.7774827796673067,,0.26365311581175893,0.09492520268418726,0.16872791312757168,0.2264694845015129,,0.28902197607093966,,,,,,,341.82000732421875,,,,,,,-74.17126152515412,,-16.44650959968567,,,,,,,,,,,,,,,,,,,,"Jason Adam","11861",592094
"Paul Blackburn","NYM",,,,,,,,,,,171.6259307861328,40.64318084716797,,,5.458438873291016,13.574620246887207,1.4665381908416748,1.63712739944458,34.38673400878906,,,2.53316360851231,,0.20035861627249787,0.07909422652339679,0.12126438974910109,0.26339466933608924,,0.3027163962794041,,,,,,,672.1300048828125,,,,,,,-149.67284326553346,,-47.82148027420044,,,,,,,,,,,,,,,,,,,,"Paul Blackburn","14739",621112
"Clarke Schmidt","NYY",,,,,,,,,,,308.7091064453125,68.4641342163086,,,9.725074768066406,25.86376953125,0.42849987745285034,4.062483787536621,68.58553314208984,,,2.651799578527063,,0.2221688045805662,0.08378039063720247,0.13838841394336374,0.24894670250304632,,0.29387994332662787,,,,,,,249.11000061035156,,,,,,,-250.23286228179933,,-79.03366565704346,,,,,,,,,,,,,,,,,,,,"Clarke Schmidt","19899",657376
"Jonathan Bowlan","KCR",,,,,,,,,,,76.5134506225586,17.721235275268555,,,2.5291125774383545,5.868208885192871,0.7575337886810303,0.815507709980011,15.142449378967285,,,2.5804209896440313,,0.19790571795886056,0.07669512794738259,0.12121059001147796,0.2573687949839873,,0.29213716657931965,,,,,,,999,,,,,,,-66.94954744577409,,-22.644714534282684,,,,,,,,,,,,,,,,,,,,"Jonathan Bowlan","24607",680742
"Andrew Painter","PHI",,,,,,,,,,,149.76220703125,33.979347229003906,,,5.514615535736084,12.074536323547363,0.2897280752658844,1.5055105686187744,31.837316513061523,,,2.636732016862083,,0.21258578612171639,0.08062472210380714,0.13196106401790925,0.25335126880960984,,0.28886850282147225,,,,,,,999,,,,,,,-133.24158153533935,,-48.75550961494446,,,,,,,,,,,,,,,,,,,,"Andrew Painter","sa3017880",691725
"Joe Mantiply","ARI",,,,,,,,,,,115.70285034179688,25.435834884643555,,,2.369070529937744,6.51972770690918,0,1.5383834838867188,25.192909240722656,,,3.8641045106875955,,0.21773801739801987,0.056348894496974826,0.16138912290104504,0.2402650837260309,,0.2904803157386917,,,,,,,748.9600219726562,,,,,,,-69.06125330924989,,-4.586431980133057,,,,,,,,,,,,,,,,,,,,"Joe Mantiply","14857",573009
"Nathan Eovaldi","TEX",,,,,,,,,,,348.1207275390625,78.73719787597656,,,10.133056640625,24.7354679107666,0.41148099303245544,3.2290878295898438,79.4859619140625,,,3.213440804952983,,0.2283287251407442,0.07105428075376823,0.15727444438697596,0.24904643033615556,,0.298466126874256,,,,,,,203.2899932861328,,,,,,,-254.27505455017092,,-56.651479721069336,,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Brandon Eisert","CHW",,,,,,,,,,,64.53118133544922,13.652338981628418,,,1.3695104122161865,4.519753932952881,0,0.9716482758522034,15.086347579956055,,,3.3378692299958295,,0.2337838432173347,0.07003984491556213,0.16374399830177255,0.23539738582313802,,0.29120395125023324,,,,,,,999,,,,,,,-38.642570888996126,,-4.105146825313568,,,,,,,,,,,,,,,,,,,,"Brandon Eisert","27668",685126
"Tayler Saucedo","SEA",,,,,,,,,,,114.66261291503906,24.0451602935791,,,2.1280927658081055,9.324823379516602,0,2.024604558944702,25.82300567626953,,,2.7692755803818985,,0.22520859258111853,0.0813240091295143,0.1438845834516042,0.23657663888006256,,0.29352420288404213,,,,,,,999,,,,,,,-71.09523024559022,,-10.06747841835022,,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
"MacKenzie Gore","WSN",,,,,,,,,,,170.29684448242188,32.643348693847656,,,3.6330490112304688,12.966456413269043,0,3.0181949138641357,47.96746063232422,,,3.6993500077042936,,0.2816696972754269,0.0761403210533795,0.2055293762220474,0.21579697166061165,,0.2861114579301118,,,,,,,200.7899932861328,,,,,,,-81.57824215888978,,0.7513301372528076,,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
